id,Population,Area (km2),Population/km2,ESA (000s),JSA (000s),IS (000s),Total (000s),% on benefits,People on benefits/km2
E14000639,125873,17,7404,0.6,3.64,0.94,5.18,4.115259031,305
E14000640,95839,134,715,0.67,3.37,0.39,4.43,4.622335375,33
E14000641,99347,187,531,0.81,3.41,0.6,4.82,4.85168148,26
E14000642,88736,145,612,1.27,4.66,1.04,6.97,7.854760188,48
E14000643,93974,347,271,1.01,3.3,0.66,4.97,5.288696874,14
E14000644,119981,46,2608,1.35,4.01,0.85,6.21,5.175819505,135
E14000645,111962,180,622,0.9,3.66,0.77,5.33,4.760543756,30
E14000646,94020,211,446,0.42,2.51,0.26,3.19,3.392895129,15
E14000647,79375,1223,65,0.54,3.02,0.31,3.87,4.875590551,3
E14000648,118787,554,214,0.93,3.71,0.37,5.01,4.217633243,9
E14000649,122570,27,4540,1.88,5.76,1.29,8.93,7.2856327,331
E14000650,110488,39,2833,1.04,4,0.9,5.94,5.376149446,152
E14000651,119853,33,3632,1.18,4.27,1.02,6.47,5.398279559,196
E14000652,111375,45,2475,1.02,3.24,0.64,4.9,4.399551066,109
E14000653,109405,136,804,0.79,3.47,0.51,4.77,4.359946986,35
E14000654,120024,26,4616,1.06,3.32,0.37,4.75,3.957541825,183
E14000655,145017,18,8057,1.37,4.3,0.78,6.45,4.447754401,358
E14000656,117263,43,2727,0.55,2.21,0.15,2.91,2.481601187,68
E14000657,109715,44,2494,1.55,3.6,1.21,6.36,5.79683726,145
E14000658,91162,30,3039,1.36,3.88,1.4,6.64,7.283736645,221
E14000659,111550,89,1253,1.06,2.76,0.52,4.34,3.890632004,49
E14000660,97822,748,131,0.36,1.8,0.25,2.41,2.463658482,3
E14000661,86684,26,3334,0.91,4.05,0.47,5.43,6.264131789,209
E14000662,102559,30,3419,1.06,4.4,0.58,6.04,5.889292992,201
E14000663,114435,31,3691,1.69,6.38,1.06,9.13,7.978328309,295
E14000664,79090,911,87,0.25,1.81,0.14,2.2,2.781641168,2
E14000665,100666,1023,98,0.51,1.95,0.31,2.77,2.751673852,3
E14000666,113864,126,904,1.17,4.39,0.98,6.54,5.743694232,52
E14000667,99522,251,397,1.2,4.18,0.79,6.17,6.199634252,25
E14000668,108443,61,1778,1.34,5.18,1.31,7.83,7.220383058,128
E14000669,98432,257,383,1.66,5.07,1.08,7.81,7.934411573,30
E14000670,100020,216,463,1.09,3.68,0.92,5.69,5.688862228,26
E14000671,83935,23,3649,1.3,3.7,1.31,6.31,7.517722047,274
E14000672,80609,25,3224,1.06,3.02,1.1,5.18,6.426081455,207
E14000673,117324,15,7822,1.34,4.04,1.23,6.61,5.633970884,441
E14000674,121791,18,6766,0.98,3.42,1.29,5.69,4.671937992,316
E14000675,122019,23,5305,1.26,3.61,1.24,6.11,5.007416878,266
E14000676,99386,14,7099,0.79,3.43,1.1,5.32,5.352866601,380
E14000677,82673,119,695,1.53,5.82,1.08,8.43,10.19679944,71
E14000678,102403,342,299,0.45,2.45,0.26,3.16,3.085847094,9
E14000679,160657,21,7650,1.42,5,1.42,7.84,4.879961657,373
E14000680,96743,464,208,0.39,1.94,0.24,2.57,2.656522953,6
E14000681,111144,259,429,0.52,2.22,0.22,2.96,2.663211689,11
E14000682,99415,57,1744,0.63,3.14,0.48,4.25,4.275008801,75
E14000683,102005,1057,97,0.77,3.62,0.58,4.97,4.872310181,5
E14000684,110520,56,1974,1.02,4.69,0.75,6.46,5.84509591,115
E14000685,108100,78,1386,0.56,2.46,0.24,3.26,3.015726179,42
E14000686,88087,712,124,0.64,2.59,0.25,3.48,3.950639708,5
E14000687,120107,20,6005,1.91,4.78,1.59,8.28,6.893852981,414
E14000688,87198,141,618,0.8,3.56,0.46,4.82,5.527649717,34
E14000689,100705,246,409,0.55,2.49,0.36,3.4,3.376197805,14
E14000690,95455,22,4339,1.2,3.45,0.77,5.42,5.6780682,246
E14000691,109296,37,2954,1.68,4,1.13,6.81,6.230786122,184
E14000692,101992,25,4080,0.64,2.3,0.69,3.63,3.559102675,145
E14000693,99568,126,790,0.68,2.35,0.6,3.63,3.645749638,29
E14000694,109735,52,2110,0.41,1.88,0.31,2.6,2.36934433,50
E14000695,96729,60,1612,1.01,3.96,0.62,5.59,5.779032141,93
E14000696,120342,27,4457,1.79,4.26,1.23,7.28,6.049425803,270
E14000697,110961,81,1370,0.46,1.9,0.27,2.63,2.370202143,32
E14000698,115598,38,3042,0.81,4.2,0.55,5.56,4.809771795,146
E14000699,101086,66,1532,0.43,2.04,0.3,2.77,2.740240983,42
E14000700,97346,391,249,0.91,2.45,0.51,3.87,3.975510036,10
E14000701,135309,30,4510,0.93,3.07,0.22,4.22,3.118787368,141
E14000702,100329,97,1034,0.59,2.37,0.37,3.33,3.319080226,34
E14000703,129820,21,6182,0.7,3.24,0.87,4.81,3.70513018,229
E14000704,116345,442,263,1.24,4.45,1,6.69,5.750139671,15
E14000705,89681,620,145,0.63,2.96,0.4,3.99,4.449102932,6
E14000706,84083,191,440,0.44,2.63,0.34,3.41,4.055516573,18
E14000707,96294,1203,80,0.91,3.61,0.68,5.2,5.400128772,4
E14000708,98759,64,1543,1.56,5.81,0.97,8.34,8.444799968,130
E14000709,96380,26,3707,1.55,5.63,1.41,8.59,8.912637477,330
E14000710,94517,38,2487,0.83,3.42,0.71,4.96,5.247733212,131
E14000711,103150,42,2456,1.2,3.39,0.76,5.35,5.186621425,127
E14000712,119002,38,3132,1.21,5.01,0.87,7.09,5.957883061,187
E14000713,99700,39,2556,0.85,3.12,0.42,4.39,4.403209629,113
E14000714,109948,686,160,0.85,2.9,0.58,4.33,3.938225343,6
E14000715,106808,105,1017,1.17,3.05,0.91,5.13,4.80301101,49
E14000716,88099,30,2937,1.87,4.67,1.43,7.97,9.046640711,266
E14000717,99164,182,545,0.94,4.27,0.41,5.62,5.667379291,31
E14000718,126165,19,6640,1.89,4.72,1.48,8.09,6.412237942,426
