PCON11CD,Figure to use
W07000067,0.532082359
W07000068,0.518550865
W07000069,0.54015405
W07000070,0.567322317
W07000071,0.583543388
W07000072,0.620280444
W07000073,0.502766239
W07000074,0.589024508
W07000075,0.465109786
W07000076,0.551359713
W07000077,0.58939917
W07000078,0.525506701
W07000079,0.438226362
W07000080,0.428171979
